2025-10-13 00:00:18 | INFO     | rvm_sistemi | SYSTEM: Doğrulama servisi başlatıldı.
2025-10-13 00:00:18 | INFO     | rvm_sistemi | SYSTEM: Kart arama başlatıldı.
2025-10-13 00:00:18 | INFO     | rvm_sistemi | SYSTEM: /dev/ttyUSB1 portu deneniyor...
2025-10-13 00:00:20 | INFO     | rvm_sistemi | SYSTEM: Reset komutu gönderiliyor...
2025-10-13 00:00:22 | INFO     | rvm_sistemi | SYSTEM: Kimlik sorgusu gönderiliyor...
2025-10-13 00:00:24 | INFO     | rvm_sistemi | SYSTEM: /dev/ttyUSB0 portu deneniyor...
2025-10-13 00:00:26 | INFO     | rvm_sistemi | SYSTEM: Reset komutu gönderiliyor...
2025-10-13 00:00:27 | INFO     | rvm_sistemi | SYSTEM: Kimlik sorgusu gönderiliyor...
2025-10-13 00:00:28 | INFO     | rvm_sistemi | SUCCESS: MOTOR kartı /dev/ttyUSB0 portunda bulundu.
2025-10-13 00:00:28 | INFO     | rvm_sistemi | SYSTEM: Port arama sonucu: Kartlar başarıyla bulundu.
2025-10-13 00:00:28 | INFO     | rvm_sistemi | SYSTEM: Bulunan portlar: {'motor': '/dev/ttyUSB0'}
2025-10-13 00:00:28 | ERROR    | rvm_sistemi | Sensör kartı bulunamadı.
2025-10-13 00:01:06 | INFO     | rvm_sistemi | SYSTEM: Doğrulama servisi başlatıldı.
2025-10-13 00:01:06 | INFO     | rvm_sistemi | SYSTEM: Kart arama başlatıldı.
2025-10-13 00:01:06 | INFO     | rvm_sistemi | SYSTEM: /dev/ttyUSB1 portu deneniyor...
2025-10-13 00:01:08 | INFO     | rvm_sistemi | SYSTEM: Reset komutu gönderiliyor...
2025-10-13 00:01:10 | INFO     | rvm_sistemi | SYSTEM: Kimlik sorgusu gönderiliyor...
2025-10-13 00:01:10 | INFO     | rvm_sistemi | SUCCESS: SENSOR kartı /dev/ttyUSB1 portunda bulundu.
2025-10-13 00:01:10 | INFO     | rvm_sistemi | SYSTEM: /dev/ttyUSB0 portu deneniyor...
2025-10-13 00:01:12 | INFO     | rvm_sistemi | SYSTEM: Reset komutu gönderiliyor...
2025-10-13 00:01:14 | INFO     | rvm_sistemi | SYSTEM: Kimlik sorgusu gönderiliyor...
2025-10-13 00:01:14 | INFO     | rvm_sistemi | SUCCESS: MOTOR kartı /dev/ttyUSB0 portunda bulundu.
2025-10-13 00:01:14 | INFO     | rvm_sistemi | SYSTEM: Port arama sonucu: Kartlar başarıyla bulundu.
2025-10-13 00:01:14 | INFO     | rvm_sistemi | SYSTEM: Bulunan portlar: {'sensor': '/dev/ttyUSB1', 'motor': '/dev/ttyUSB0'}
2025-10-13 00:01:14 | INFO     | rvm_sistemi | SENSOR: Sensör kartı başlatıldı: /dev/ttyUSB1
2025-10-13 00:01:14 | INFO     | rvm_sistemi | MOTOR: Motor kartı başlatıldı: /dev/ttyUSB0
